Igra,Dodatki
Gloomhaven,"['Gloomhaven: Forgotten Circles', 'Gloomhaven: Solo Scenarios', 'Gloomhaven: The End of the World (Promo Scenario)']"
Pandemic Legacy: Season 1,[]
Through the Ages: A New Story of Civilization,[]
Terraforming Mars,"['Terraforming Mars: Gathering of Friends Promo Card', 'Terraforming Mars: Turmoil', 'Terraforming Mars: Atmo Collectors Promo Card', 'Terraforming Mars: BGG User-Created Corporation Pack', 'Terraforming Mars: Colonies', 'Terraforming Mars: Jovian Lanterns Promo Card', 'Terraforming Mars: Lunar Exports Promo Card', 'Terraforming Mars: Prelude', 'Terraforming Mars: Hellas & Elysium', 'Terraforming Mars: Penguins Promo Card']"
Twilight Struggle,"['Twilight Struggle: Turn Zero and Promo Packs', 'Twilight Struggle: Regime of the Colonels Promo Card', 'Twilight Struggle: Promo Deck', 'Twilight Struggle: Turn Zero', 'Twilight Struggle: ""Pakt Bagdadzki"" and ""Stan Wojenny"" Promo Cards', 'Twilight Struggle: ""Referendum NATO"" Promo Card', 'Twilight Struggle: ""Anni di Piombo"" Promo Card', 'Twilight Struggle: ""Gladio"" Promo Card', 'Twilight Struggle: ""Финляндизация"" Promo Card']"
Star Wars: Rebellion,['Star Wars: Rebellion – Rise of the Empire']
Gaia Project,[]
Scythe,"['Scythe: Modular Board', 'Scythe: Bonus Promo Pack – 6 Promo Encounter Cards numbers 37-42', 'Scythe: Encounters', 'Scythe: The Rise of Fenris', 'Scythe: Promo Pack #11 – Encounter Card 39', 'Scythe: Promo Pack #12 – Encounter Card 40', 'Scythe: Promo Pack #13 – Encounter Card 41', 'Scythe: Promo Pack #14 – Encounter Card 42', 'Scythe: The Wind Gambit', 'Scythe: Invaders from Afar']"
Twilight Imperium (Fourth Edition),[]
Great Western Trail,"['Brettspiel Adventskalender 2018', 'Great Western Trail: At the Poker Table', 'Great Western Trail: Rails to the North', 'Deutscher Spielepreis 2017 Goodie Box', 'Great Western Trail: Promo Station Master Tiles', 'Great Western Trail: The Eleventh Building Tile']"
Terra Mystica,"['Terra Mystica: Erweiterungsbogen', 'Terra Mystica: Fire & Ice', 'Terra Mystica: 4 Town Tiles', 'Terra Mystica: Bonus Card Shipping Value']"
War of the Ring (Second Edition),"['War of the Ring: Warriors of Middle-earth', 'War of the Ring: Warriors of Middle-earth – Tidings Not Burdens Mini-Expansion', 'War of the Ring: Lords of Middle-earth', 'War of the Ring: Lords of Middle-earth – Treebeard Mini-Expansion', 'War of the Ring: Scenario – The Breaking of the Fellowship']"
The Castles of Burgundy,"['Brettspiel Adventskalender 2018', 'The Castles of Burgundy: 10th Expansion – Solo', 'Brettspiel Adventskalender 2017', 'The Castles of Burgundy: 8th Expansion – Trade Routes', 'The Castles of Burgundy: 9th Expansion – The Team Game', 'The Castles of Burgundy: 7th Expansion – German Board Game Championship Board 2016', 'Brettspiel Adventskalender 2015', 'The Castles of Burgundy: 6th Expansion – The Cloisters', 'The Castles of Burgundy: 5th Expansion – Pleasure Garden', 'Stadt Land Spielt Limitierter Sonderdruck Tag des Gesellschaftsspiels']"
Brass: Birmingham,[]
Spirit Island,"['Spirit Island: Jagged Earth', 'Spirit Island: Promo Pack 2', 'Spirit Island: Unter der Insel schlummernde Schlange Promo', 'Spirit Island: Branch & Claw', 'Spirit Island: Champions of the Dahan Token Pack', 'Spirit Island: Expansion Playmat', 'Spirit Island: Promo Pack 1']"
7 Wonders Duel,"['Leaders (fan expansion to  7 Wonders Duel)', '7 Wonders Duel: Pantheon', '7 Wonders Duel: Statue of Liberty', '7 Wonders Duel: The Messe Essen Promo Card']"
