Igra,Min. st. igralcev,Max. st. igralcev,Min cas,Max. cas,Leto izdaje,Min. starost
Gloomhaven,1,4,60,120,2017,12
Pandemic Legacy: Season 1,2,4,60,60,2015,13
Through the Ages: A New Story of Civilization,2,4,120,120,2015,14
Terraforming Mars,1,5,120,120,2016,12
Twilight Struggle,2,2,120,180,2005,13
Star Wars: Rebellion,2,4,180,240,2016,14
Gaia Project,1,4,60,150,2017,12
Scythe,1,5,90,115,2016,14
Great Western Trail,2,4,75,150,2016,12
Twilight Imperium (Fourth Edition),3,6,240,480,2017,14
Terra Mystica,2,5,60,150,2012,12
War of the Ring (Second Edition),2,4,150,180,2012,13
The Castles of Burgundy,2,4,30,90,2011,12
Spirit Island,1,4,90,120,2017,13
Brass: Birmingham,2,4,60,120,2018,14
7 Wonders Duel,2,2,30,30,2015,10
The 7th Continent,1,4,5,1000,2017,14
Viticulture Essential Edition,1,6,45,90,2015,13
Concordia,2,5,100,100,2013,13
Arkham Horror: The Card Game,1,2,60,120,2016,14
Puerto Rico,3,5,90,150,2002,12
Brass: Lancashire,2,4,60,120,2007,14
Caverna: The Cave Farmers,1,7,30,210,2013,12
Mage Knight Board Game,1,4,60,240,2011,14
Agricola,1,5,30,150,2007,12
Orléans,2,4,90,90,2014,12
Mansions of Madness: Second Edition,1,5,120,180,2016,14
A Feast for Odin,1,4,30,120,2016,12
Food Chain Magnate,2,5,120,240,2015,14
Blood Rage,2,4,60,90,2015,14
Mechs vs. Minions,2,4,60,90,2016,14
Kingdom Death: Monster,1,4,60,180,2015,17
Pandemic Legacy: Season 2,2,4,60,60,2017,14
Star Wars: Imperial Assault,2,5,60,120,2014,14
Power Grid,2,6,120,120,2004,12
Through the Ages: A Story of Civilization,2,4,240,240,2006,12
Azul,2,4,30,45,2017,8
Tzolk'in: The Mayan Calendar,2,4,90,90,2012,13
Eclipse,2,6,60,180,2011,14
Le Havre,1,5,30,150,2008,12
Robinson Crusoe: Adventures on the Cursed Island,1,4,60,120,2012,14
The Voyages of Marco Polo,2,4,40,100,2015,12
Clans of Caledonia,1,4,30,120,2017,12
