Igra,Oblikovalec
Gloomhaven,Isaac Childres
Pandemic Legacy: Season 1,Rob Daviau
Pandemic Legacy: Season 1,Matt Leacock
Through the Ages: A New Story of Civilization,Vlaada Chvátil
Terraforming Mars,Jacob Fryxelius
Twilight Struggle,Ananda Gupta
Twilight Struggle,Jason Matthews
Star Wars: Rebellion,Corey Konieczka
Gaia Project,Jens Drögemüller
Gaia Project,Helge Ostertag
Scythe,Jamey Stegmaier
Twilight Imperium (Fourth Edition),Dane Beltrami
Twilight Imperium (Fourth Edition),Corey Konieczka
Twilight Imperium (Fourth Edition),Christian T. Petersen
Great Western Trail,Alexander Pfister
Terra Mystica,Jens Drögemüller
Terra Mystica,Helge Ostertag
War of the Ring (Second Edition),Roberto Di Meglio
War of the Ring (Second Edition),Marco Maggi
War of the Ring (Second Edition),Francesco Nepitello
The Castles of Burgundy,Stefan Feld
Brass: Birmingham,Gavan Brown
Brass: Birmingham,Matt Tolman
Brass: Birmingham,Martin Wallace
Spirit Island,R. Eric Reuss
7 Wonders Duel,Antoine Bauza
7 Wonders Duel,Bruno Cathala
The 7th Continent,Ludovic Roudy
The 7th Continent,Bruno Sautter
Concordia,Mac Gerdts
Viticulture Essential Edition,Morten Monrad Pedersen
Viticulture Essential Edition,Jamey Stegmaier
Viticulture Essential Edition,Alan Stone
Puerto Rico,Andreas Seyfarth
Arkham Horror: The Card Game,Nate French
Arkham Horror: The Card Game,Matthew Newman
Brass: Lancashire,Martin Wallace
Caverna: The Cave Farmers,Uwe Rosenberg
Mage Knight Board Game,Vlaada Chvátil
Agricola,Uwe Rosenberg
Orléans,Reiner Stockhausen
Mansions of Madness: Second Edition,Nikki Valens
A Feast for Odin,Uwe Rosenberg
Food Chain Magnate,Jeroen Doumen
Food Chain Magnate,Joris Wiersinga
Blood Rage,Eric M. Lang
Pandemic Legacy: Season 2,Rob Daviau
Pandemic Legacy: Season 2,Matt Leacock
Mechs vs. Minions,Chris Cantrell
Mechs vs. Minions,Rick Ernst
Mechs vs. Minions,Stone Librande
Mechs vs. Minions,Prashant Saraswat
Mechs vs. Minions,Nathan Tiras
Kingdom Death: Monster,Adam Poots
Through the Ages: A Story of Civilization,Vlaada Chvátil
Power Grid,Friedemann Friese
Star Wars: Imperial Assault,Justin Kemppainen
Star Wars: Imperial Assault,Corey Konieczka
Star Wars: Imperial Assault,Jonathan Ying
Tzolk'in: The Mayan Calendar,Simone Luciani
Tzolk'in: The Mayan Calendar,Daniele Tascini
Azul,Michael Kiesling
Eclipse,Touko Tahkokallio
Le Havre,Uwe Rosenberg
Robinson Crusoe: Adventures on the Cursed Island,Ignacy Trzewiczek
The Voyages of Marco Polo,Simone Luciani
The Voyages of Marco Polo,Daniele Tascini
Clans of Caledonia,Juma Al-JouJou
Android: Netrunner,Richard Garfield
Android: Netrunner,Lukas Litzsinger
7 Wonders,Antoine Bauza
Keyflower,Sebastian Bleasdale
Keyflower,Richard Breese
Anachrony,Dávid Turczi
Race for the Galaxy,Thomas Lehmann
Wingspan,Elizabeth Hargrave
Caylus,William Attia
Dominant Species,Chad Jensen
Root,Cole Wehrle
Fields of Arle,Uwe Rosenberg
Lords of Waterdeep,Peter Lee
Lords of Waterdeep,Rodney Thompson
Rising Sun,Eric M. Lang
Twilight Imperium (Third Edition),Christian T. Petersen
Five Tribes,Bruno Cathala
Eldritch Horror,Corey Konieczka
Eldritch Horror,Nikki Valens
El Grande,Wolfgang Kramer
El Grande,Richard Ulrich
Codenames,Vlaada Chvátil
Clank!: A Deck-Building Adventure,Paul Dennen
Dominion: Intrigue,Donald X. Vaccarino
The Gallerist,Vital Lacerda
Patchwork,Uwe Rosenberg
Mombasa,Alexander Pfister
Battlestar Galactica: The Board Game,Corey Konieczka
Roll for the Galaxy,Wei-Hwa Huang
Roll for the Galaxy,Thomas Lehmann
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,Raymond Edwards
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,Suzanne Goldberg
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,Gary Grady
Troyes,Sébastien Dujardin
Troyes,Xavier Georges
Troyes,Alain Orban
T.I.M.E Stories,Peggy Chassenet
T.I.M.E Stories,Manuel Rozoy
Russian Railroads,Helmut Ohley
Russian Railroads,"Leonhard ""Lonny"" Orgler"
Tigris & Euphrates,Reiner Knizia
Trajan,Stefan Feld
Star Wars: X-Wing Miniatures Game,Jason Little
Pandemic,Matt Leacock
Dominion,Donald X. Vaccarino
Dead of Winter: A Crossroads Game,Jonathan Gilmour
Dead of Winter: A Crossroads Game,Isaac Vega
Lisboa,Vital Lacerda
Crokinole,(Uncredited)
Kemet,Jacques Bariot
Kemet,Guillaume Montiage
Pandemic: Iberia,Jesús Torres Castro
Pandemic: Iberia,Matt Leacock
Agricola (Revised Edition),Uwe Rosenberg
Descent: Journeys in the Dark (Second Edition),Daniel Clark (I)
Descent: Journeys in the Dark (Second Edition),Corey Konieczka
Descent: Journeys in the Dark (Second Edition),Adam Sadler
Descent: Journeys in the Dark (Second Edition),Kevin Wilson
Forbidden Stars,Samuel Bailey
Forbidden Stars,James Kniffen
Forbidden Stars,Corey Konieczka
Raiders of the North Sea,Shem Phillips
Stone Age,Bernd Brunnhofer
Alchemists,Matúš Kotry
Yokohama,Hisashi Hayashi
Aeon's End,Kevin Riley
Star Realms,Robert Dougherty
Star Realms,Darwin Kastle
War of the Ring (First Edition),Roberto Di Meglio
War of the Ring (First Edition),Marco Maggi
War of the Ring (First Edition),Francesco Nepitello
Legendary Encounters: An Alien Deck Building Game,Ben Cichoski
Legendary Encounters: An Alien Deck Building Game,Daniel Mandel
Champions of Midgard,Ole Steiness
Castles of Mad King Ludwig,Ted Alspach
Istanbul,Rüdiger Dorn
A Game of Thrones: The Board Game (Second Edition),Christian T. Petersen
Architects of the West Kingdom,Shem Phillips
Architects of the West Kingdom,S J Macdonald
The Resistance: Avalon,Don Eskridge
Santorini,Gord!
Teotihuacan: City of Gods,Daniele Tascini
Grand Austria Hotel,Virginio Gigli
Grand Austria Hotel,Simone Luciani
Ticket to Ride: Europe,Alan R. Moon
Chaos in the Old World,Eric M. Lang
Railways of the World,Glenn Drover
Railways of the World,Martin Wallace
Ora et Labora,Uwe Rosenberg
Suburbia,Ted Alspach
Commands & Colors: Ancients,Richard Borg
Inis,Christian Martinez
Arcadia Quest,Thiago Aranha
Arcadia Quest,Guilherme Goulart
Arcadia Quest,Eric M. Lang
Arcadia Quest,Fred Perret
Nations,Rustan Håkansson
Nations,Nina Håkansson
Nations,Einar Rosén
Nations,Robert Rosén
The Lord of the Rings: The Card Game,Nate French
Captain Sonar,Roberto Fraga
Captain Sonar,Yohan Lemonnier
Lorenzo il Magnifico,Flaminia Brasini
Lorenzo il Magnifico,Virginio Gigli
Lorenzo il Magnifico,Simone Luciani
Codenames: Duet,Vlaada Chvátil
Codenames: Duet,Scot Eaton
Dinosaur Island,Jonathan Gilmour
Dinosaur Island,Brian Lewis
Jaipur,Sébastien Pauchon
Paths of Glory,Ted Raicer
Cosmic Encounter,Bill Eberle
Cosmic Encounter,Jack Kittredge
Cosmic Encounter,Bill Norton
Cosmic Encounter,Peter Olotka
Cosmic Encounter,Kevin Wilson
Combat Commander: Europe,Chad Jensen
Near and Far,Ryan Laukat
Hansa Teutonica,Andreas Steding
Memoir '44,Richard Borg
Clank! In! Space!,Paul Dennen
Village,Inka Brand
Village,Markus Brand
Sagrada,Adrian Adamescu
Sagrada,Daryl Andrews
Too Many Bones,Josh J. Carlson
Too Many Bones,Adam Carlson
Goa,Rüdiger Dorn
Chronicles of Crime,David Cicurel
Age of Steam,Martin Wallace
Ticket to Ride: Nordic Countries,Alan R. Moon
Splendor,Marc André
La Granja,Michael Keller (II)
La Granja,"Andreas ""ode."" Odendahl"
Tichu,Urs Hostettler
Steam,Martin Wallace
Zombicide: Black Plague,Raphaël Guiton
Zombicide: Black Plague,Jean-Baptiste Lullien
Zombicide: Black Plague,Nicolas Raoult
Go,(Uncredited)
The Princes of Florence,Wolfgang Kramer
The Princes of Florence,Richard Ulrich
The Princes of Florence,Jens Christopher Ulrich
