Game,Zvrst
Gloomhaven,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']"
Pandemic Legacy: Season 1,"['Environmental', 'Medical']"
Through the Ages: A New Story of Civilization,"['Card Game', 'Civilization', 'Economic']"
Terraforming Mars,"['Economic', 'Environmental', 'Industry / Manufacturing', 'Science Fiction', 'Space Exploration', 'Territory Building']"
Twilight Struggle,"['Modern Warfare', 'Political', 'Wargame']"
Star Wars: Rebellion,"['Fighting', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Wargame']"
Gaia Project,"['Civilization', 'Economic', 'Science Fiction', 'Space Exploration', 'Territory Building']"
Scythe,"['Economic', 'Fighting', 'Science Fiction', 'Territory Building']"
Twilight Imperium (Fourth Edition),"['Civilization', 'Economic', 'Negotiation', 'Political', 'Science Fiction']"
Great Western Trail,"['American West', 'Animals']"
Terra Mystica,"['Civilization', 'Economic', 'Fantasy', 'Territory Building']"
War of the Ring (Second Edition),"['Adventure', 'Fantasy', 'Fighting', 'Miniatures', 'Novel-based']"
The Castles of Burgundy,"['Dice', 'Medieval', 'Territory Building']"
Brass: Birmingham,"['Economic', 'Industry / Manufacturing', 'Transportation']"
Spirit Island,"['Age of Reason', 'Environmental', 'Fantasy', 'Fighting', 'Mythology']"
7 Wonders Duel,"['Ancient', 'Card Game', 'City Building', 'Civilization']"
Concordia,"['Ancient', 'Economic', 'Nautical']"
The 7th Continent,"['Adventure', 'Card Game', 'Exploration', 'Science Fiction']"
Viticulture Essential Edition,"['Economic', 'Farming']"
Arkham Horror: The Card Game,"['Adventure', 'Card Game', 'Collectible Components', 'Fantasy', 'Horror', 'Novel-based']"
Puerto Rico,"['City Building', 'Economic', 'Farming']"
Brass: Lancashire,"['Economic', 'Industry / Manufacturing', 'Transportation']"
Caverna: The Cave Farmers,"['Animals', 'Economic', 'Fantasy', 'Farming']"
Mage Knight Board Game,"['Adventure', 'Exploration', 'Fantasy', 'Fighting']"
Agricola,"['Animals', 'Economic', 'Farming']"
Orléans,"['Medieval', 'Religious', 'Travel']"
Mansions of Madness: Second Edition,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Horror']"
A Feast for Odin,"['Economic', 'Industry / Manufacturing', 'Medieval', 'Puzzle']"
Food Chain Magnate,"['Economic', 'Industry / Manufacturing']"
Blood Rage,"['Fantasy', 'Fighting', 'Miniatures', 'Mythology']"
Mechs vs. Minions,"['Fantasy', 'Fighting', 'Miniatures', 'Video Game Theme']"
Pandemic Legacy: Season 2,"['Environmental', 'Exploration', 'Medical']"
Kingdom Death: Monster,"['Adventure', 'Fantasy', 'Horror', 'Mature / Adult', 'Miniatures', 'Mythology']"
Star Wars: Imperial Assault,"['Adventure', 'Fighting', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Wargame']"
Power Grid,"['Economic', 'Industry / Manufacturing']"
Through the Ages: A Story of Civilization,"['Civilization', 'Economic']"
Azul,"['Abstract Strategy', 'Renaissance']"
Tzolk'in: The Mayan Calendar,"['Ancient', 'Civilization', 'Economic', 'Farming', 'Mythology']"
Eclipse,"['Civilization', 'Fighting', 'Science Fiction', 'Space Exploration', 'Wargame']"
Le Havre,"['City Building', 'Economic', 'Industry / Manufacturing', 'Nautical']"
Robinson Crusoe: Adventures on the Cursed Island,"['Adventure', 'Exploration', 'Fighting', 'Novel-based']"
The Voyages of Marco Polo,"['Dice', 'Economic', 'Medieval', 'Travel']"
Clans of Caledonia,"['Economic', 'Farming']"
Android: Netrunner,"['Bluffing', 'Card Game', 'Collectible Components', 'Science Fiction']"
7 Wonders,"['Ancient', 'Card Game', 'City Building', 'Civilization']"
Keyflower,"['City Building', 'Economic', 'Nautical', 'Renaissance', 'Territory Building']"
Anachrony,"['Economic', 'Science Fiction']"
