Oblikovalec
Seiji Kanai
Tim Uren
Don Greenwood
Stefan Stadler
Matt Tolman
Marco Canetta
"Mariusz ""Gekon"" Goeck"
Benoit Turpin
Timothy Meyer
Nicolas Raoult
Eilif Svensson
Richard Amann
Luca Iennaco
Bill Eberle
Jesús Torres Castro
Michael Keller (II)
Karen Seyfarth
Kris Burm
Andrei Novac
James Butler
Asger Harding Granerud
Emerson Matsuuchi
Cole Wehrle
Bill McQuillan
Bruno Sautter
Scot Eaton
John Zinser
Mark Stockton-Pitt
Sergey Machin
Gianluca Santopietro
Frank Lamprecht
Gary Grady
Bowen Simmons
Andrea Chiarvesio
Play-Agricola.com Users
Kai Starck
Ryan Laukat
Mike Boxleiter
Eric Zimmerman
David Fair
Tim Fowers
Tony Fanchi
Paul Winchester
Donald X. Vaccarino
Rodney Thompson
Andreas Steiger
Larry Levy
Bruno Faidutti
Dávid Turczi
Michael Speckmann
Richard Sivél
Marc André
Chris Taylor (I)
Paul Dennen
Tony Boydell
Manuel Rozoy
Richard Breese
Jacob Fryxelius
Yoann Levet
James A. Wilson
Philippe Keyaerts
Phil Pettifer
Nadine Thiriat
Richard Launius
Paul Peterson
Ken Dunn
Adam Carlson
Daniel Clark (I)
Andrew Veen
Chris Dupuis
Mark Herman
Daniel Mandel
Prashant Saraswat
Peter Sarrett
Paul Grogan
S J Macdonald
Viktor Peter
Hervé Lemaître
Jonathan E Bove
Acchittocca
Raphaël Guiton
Steve Finn
Nina Håkansson
Bruce Glassco
Adam Kwapiński
Thiago Aranha
"Andreas ""ode."" Odendahl"
Croc
Jens Christopher Ulrich
Bryan Reese
Andreas Pelikan
Christian Leonhard
Stephen Baker
Jerry Taylor
Shimpei Sato
Justin D. Jacobson
Ted Alspach
Ananda Gupta
Wolfgang Kramer
Maciej Obszański
Uwe Eickert
Ira Fay
Samuel Bailey
Matt Eklund
Klaus Geis
Juma Al-JouJou
Frank Brooks
Michael Van Biesbrouck
"D. Brad Talton, Jr."
Kevin Wilson
Alan Stone
Ed Beach
Stephen McLaughlin
Justin Vickers
Vladimír Suchý
Colby Dauch
Jason Walden
Stefano Adriani
Alain Orban
Jeremy Holcomb
Jim Krohn
Alex Hague
Guillaume Montiage
Eric M. Lang
Peter Prinz
Lines J. Hutter
Jarratt Gray
Volko Ruhnke
Vahnin Konstantin
Stefan Dorra
Jason Little
Einar Rosén
Kasper Lapp
Craig Van Ness
Anthony J. Gallela
Andrea Crespi
Adam Rebottaro
Hjalmar Hach
Hardy Jackson
Robert Rosén
James Kniffen
Jonathan Fryxelius
Tido Lorenz
Przemysław Rymer
Zev Shlasinger
Kristian Amundsen Østby
Gord!
Harry Wu
Mac Gerdts
Jens Drögemüller
Andreas Steding
Christophe Raimbault
Alan R. Moon
Uwe Rosenberg
Klaus-Jürgen Wrede
Malcolm Braff
Brady Sadler
